Company,Company Score,Job Title,Location,Salary,Converted_Salary,In_GA
PepsiCo,3.9,2025 Summer Intern: R&D,"Plano, TX",$21.50 - $55.40 Per Hour (Employer est.),21,No
ghSMART,4.8,Data Engineer Intern,Remote,$20.00 - $30.00 Per Hour (Employer est.),20,No
PepsiCo,3.9,2025 Summer Intern: eCommerce Data Science,United States,$21.50 - $40.19 Per Hour (Employer est.),21,No
U.S. Bank National Association,3.6,2025 Data Analytics Summer Intern,"Minneapolis, MN",$20.63 - $30.25 Per Hour (Employer est.),20,No
Plymouth Rock Assurance,3.4,Fall 2024 Data Science/Predictive Modeler Intern,"Woodbridge, NJ",$77K - $130K (Glassdoor est.),77,No
Brookfield Properties,3.8,Data Analyst Intern,"Charleston, SC",$36K - $50K (Glassdoor est.),36,No
GE HEALTHCARE,4.2,Edison Engineering Program Intern – Software,"Waukesha, WI",$72K - $120K (Glassdoor est.),72,No
InComm Payments,3.6,Data Analyst Intern,"Atlanta, GA",$50K - $67K (Glassdoor est.),50,Yes
PepsiCo,3.9,2025 Summer Intern: Commerce Data & Technology,United States,$21.50 - $40.19 Per Hour (Employer est.),21,No
Copart,3.5,Data & AI Intern,"Dallas, TX",$57K - $86K (Glassdoor est.),57,No
20 Digits Inc,3.5,Data Analyst Intern,"Sewell, NJ",$60K - $93K (Glassdoor est.),60,No
Copart,4.1,Data Engineering Intern,"Dallas, TX",$72K - $100K (Glassdoor est.),72,No
Oshkosh Corporation,3.2,Data Engineer Intern - Advanced Analytics,"Oshkosh, WI",$18.00 - $21.00 Per Hour (Employer est.),18,No
CALSTART,4,Data Research Intern,Remote,$121K - $204K (Glassdoor est.),12,No
Nissan,3.5,"EV Strategy Data Science Intern- Fall 2024- Franklin, TN","Franklin, TN",$20.00 Per Hour (Employer est.),20,No
American Crystal Sugar Company,3.7,Analytics & Data Intern,"Moorhead, MN",$57K - $106K (Glassdoor est.),57,No
WSP,4.1,Data Science Intern - Fall 2024,"Kennesaw, GA",$22.00 - $28.00 Per Hour (Employer est.),22,Yes
California Institute of Genetics,3.3,Research Intern,United States,$25.00 Per Hour (Employer est.),25,No
BMW,3.8,"Intern, Commercial Credit and Data Analytics","Columbus, OH",$30.75 - $40.75 Per Hour (Employer est.),30,No
Everytown for Gun Safety,5,Research Intern,United States,$49K - $68K (Glassdoor est.),49,No
PRICE WATERHOUSE COOPERS,4.1,Digital Assurance & Transparency (DAT) Data Intern - Summer 2025,United States,$57K - $81K (Glassdoor est.),57,No
Boston Bolts,3.7,"Academy Data Analyst - Part-time, Remote","Newton, MA",$85K - $155K (Glassdoor est.),85,No
